Dentists per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Dentists per 100000 Population
2018,17165,Saline County,Illinois,6.9,30.195839999999997
2018,17169,Schuyler County,Illinois,6.9,No Data
2018,17185,Wabash County,Illinois,6.9,44.68275
2018,17189,Washington County,Illinois,6.9,29.061320000000002
2018,18013,Brown County,Indiana,6.9,6.617260000000001
2018,19061,Dubuque County,Iowa,6.9,79.92622
2018,19077,Guthrie County,Iowa,6.9,37.254349999999995
2018,19089,Howard County,Iowa,6.9,21.79599
2018,19121,Madison County,Iowa,6.9,36.31741
2018,19149,Plymouth County,Iowa,6.9,47.583169999999996
2018,20151,Pratt County,Kansas,6.9,65.73902
2018,20179,Sheridan County,Kansas,6.9,39.682539999999996
2018,20199,Wallace County,Kansas,6.9,No Data
2018,23005,Cumberland County,Maine,6.9,104.32356
2018,23023,Sagadahoc County,Maine,6.9,63.8109
2018,25001,Barnstable County,Massachusetts,6.9,107.42902
2018,26135,Oscoda County,Michigan,6.9,23.900570000000002
2018,27019,Carver County,Minnesota,6.9,51.61169
2018,27035,Crow Wing County,Minnesota,6.9,80.73853
2018,27049,Goodhue County,Minnesota,6.9,47.497730000000004
2018,27067,Kandiyohi County,Minnesota,6.9,78.83144
2018,27101,Murray County,Minnesota,6.9,24.524829999999998
2018,27117,Pipestone County,Minnesota,6.9,32.89113
2018,27145,Stearns County,Minnesota,6.9,77.14240000000001
2018,29003,Andrew County,Missouri,6.9,22.745369999999998
2018,29059,Dallas County,Missouri,6.9,29.037689999999998
2018,29171,Putnam County,Missouri,6.9,42.662119999999994
2018,30069,Petroleum County,Montana,6.9,No Data
2018,30079,Prairie County,Montana,6.9,No Data
2018,30081,Ravalli County,Montana,6.9,48.88672
2018,30091,Sheridan County,Montana,6.9,30.665439999999997
2018,30099,Teton County,Montana,6.9,48.00768
2018,31021,Burt County,Nebraska,6.9,30.878490000000003
2018,31129,Nuckolls County,Nebraska,6.9,72.56894
2018,32009,Esmeralda County,Nevada,6.9,No Data
2018,35021,Harding County,New Mexico,6.9,No Data
2018,37005,Alleghany County,North Carolina,6.9,17.86671
2018,37021,Buncombe County,North Carolina,6.9,77.42611
2018,37135,Orange County,North Carolina,6.9,226.05767
2018,38019,Cavalier County,North Dakota,6.9,No Data
2018,39077,Huron County,Ohio,6.9,34.49525
2018,39137,Putnam County,Ohio,6.9,26.742729999999998
2018,40045,Ellis County,Oklahoma,6.9,104.43863999999999
2018,41017,Deschutes County,Oregon,6.9,83.75915
2018,41057,Tillamook County,Oregon,6.9,65.59289000000001
2018,41069,Wheeler County,Oregon,6.9,144.19611
2018,42023,Cameron County,Pennsylvania,6.9,69.28406
2018,42029,Chester County,Pennsylvania,6.9,68.72213
2018,42103,Pike County,Pennsylvania,6.9,14.26737
2018,46005,Beadle County,South Dakota,6.9,48.61449
2018,46037,Day County,South Dakota,6.9,18.70907
2018,46059,Hand County,South Dakota,6.9,63.959070000000004
2018,46075,Jones County,South Dakota,6.9,213.21962
2018,47021,Cheatham County,Tennessee,6.9,14.59818
2018,47083,Houston County,Tennessee,6.9,12.05982
2018,48019,Bandera County,Texas,6.9,25.145639999999997
2018,48035,Bosque County,Texas,6.9,37.62834
2018,48043,Brewster County,Texas,6.9,32.47808
2018,48047,Brooks County,Texas,6.9,14.359560000000002
2018,48053,Burnet County,Texas,6.9,46.32147
2018,48065,Carson County,Texas,6.9,17.08234
2018,48093,Comanche County,Texas,6.9,29.090909999999997
2018,48115,Dawson County,Texas,6.9,46.246340000000004
2018,48127,Dimmit County,Texas,6.9,30.2267
2018,48133,Eastland County,Texas,6.9,27.19165
2018,48147,Fannin County,Texas,6.9,25.06056
2018,48165,Gaines County,Texas,6.9,9.09256
2018,48173,Glasscock County,Texas,6.9,No Data
2018,48189,Hale County,Texas,6.9,18.31837
2018,48193,Hamilton County,Texas,6.9,58.431689999999996
2018,48205,Hartley County,Texas,6.9,No Data
2018,48229,Hudspeth County,Texas,6.9,No Data
2018,48235,Irion County,Texas,6.9,No Data
2018,48261,Kenedy County,Texas,6.9,No Data
2018,48271,Kinney County,Texas,6.9,No Data
2018,48273,Kleberg County,Texas,6.9,56.03534
2018,48293,Limestone County,Texas,6.9,34.27592
2018,48295,Lipscomb County,Texas,6.9,No Data
2018,48297,Live Oak County,Texas,6.9,16.2285
2018,48305,Lynn County,Texas,6.9,16.59751
2018,48317,Martin County,Texas,6.9,17.19395
2018,48353,Nolan County,Texas,6.9,53.92653
2018,48397,Rockwall County,Texas,6.9,73.71142
2018,48399,Runnels County,Texas,6.9,19.22892
2018,48413,Schleicher County,Texas,6.9,No Data
2018,48417,Shackelford County,Texas,6.9,No Data
2018,48425,Somervell County,Texas,6.9,32.82635
2018,48443,Terrell County,Texas,6.9,No Data
2018,48447,Throckmorton County,Texas,6.9,No Data
2018,48449,Titus County,Texas,6.9,51.63092999999999
2018,48483,Wheeler County,Texas,6.9,40.43672
2018,48495,Winkler County,Texas,6.9,25.35818
2018,48499,Wood County,Texas,6.9,36.724199999999996
2018,49031,Piute County,Utah,6.9,No Data
2018,51840,Winchester City,Virginia,6.9,198.55595999999997
2018,53065,Stevens County,Washington,6.9,51.768769999999996
2018,55015,Calumet County,Wisconsin,6.9,29.87512
2018,55019,Clark County,Wisconsin,6.9,43.202760000000005
2018,55109,St. Croix County,Wisconsin,6.9,50.0882
2018,55117,Sheboygan County,Wisconsin,6.9,65.94932
2018,02150,Kodiak Island Borough,Alaska,7,69.2734
2018,06021,Glenn County,California,7,77.78524
2018,08055,Huerfano County,Colorado,7,29.0571
2018,08087,Morgan County,Colorado,7,69.10611
2018,08111,San Juan County,Colorado,7,No Data
2018,12021,Collier County,Florida,7,67.43466000000001
2018,13125,Glascock County,Georgia,7,No Data
2018,13201,Miller County,Georgia,7,53.36179
2018,13291,Union County,Georgia,7,31.54823
2018,16041,Franklin County,Idaho,7,49.243759999999995
2018,16043,Fremont County,Idaho,7,75.65441
2018,16053,Jerome County,Idaho,7,28.480759999999997
2018,16057,Latah County,Idaho,7,46.53441
2018,16085,Valley County,Idaho,7,50.88195
2018,17087,Johnson County,Illinois,7,24.275769999999998
2018,17107,Logan County,Illinois,7,52.84854
2018,18101,Martin County,Indiana,7,19.843239999999998
2018,18115,Ohio County,Indiana,7,33.94433
2018,18161,Union County,Indiana,7,No Data
2018,19041,Clay County,Iowa,7,106.40961000000001
2018,19047,Crawford County,Iowa,7,47.52287
2018,19167,Sioux County,Iowa,7,51.36547
2018,20081,Haskell County,Kansas,7,No Data
2018,20091,Johnson County,Kansas,7,87.77708
2018,20153,Rawlins County,Kansas,7,119.47431
2018,20175,Seward County,Kansas,7,33.273120000000006
2018,21079,Garrard County,Kentucky,7,22.57464
2018,23009,Hancock County,Maine,7,52.64304
2018,25007,Dukes County,Massachusetts,7,68.72459
2018,25021,Norfolk County,Massachusetts,7,124.46981000000001
2018,27109,Olmsted County,Minnesota,7,125.55085
2018,27133,Rock County,Minnesota,7,43.00613
2018,27171,Wright County,Minnesota,7,40.642
2018,29057,Dade County,Missouri,7,13.213529999999999
2018,29125,Maries County,Missouri,7,34.11029
2018,29186,Ste. Genevieve County,Missouri,7,16.73734
2018,29209,Stone County,Missouri,7,12.320960000000001
2018,30061,Mineral County,Montana,7,22.00704
2018,31009,Blaine County,Nebraska,7,No Data
2018,31015,Boyd County,Nebraska,7,No Data
2018,31113,Logan County,Nebraska,7,No Data
2018,32031,Washoe County,Nevada,7,69.79932
2018,35023,Hidalgo County,New Mexico,7,146.12761999999998
2018,36077,Otsego County,New York,7,52.81
2018,37011,Avery County,North Carolina,7,34.14717
2018,37109,Lincoln County,North Carolina,7,43.13427
2018,37189,Watauga County,North Carolina,7,70.87047
2018,38011,Bowman County,North Dakota,7,167.44809
2018,38033,Golden Valley County,North Dakota,7,No Data
2018,38049,Mchenry County,North Dakota,7,No Data
2018,38055,Mclean County,North Dakota,7,21.24044
2018,38065,Oliver County,North Dakota,7,No Data
2018,40057,Harmon County,Oklahoma,7,39.10833
2018,42067,Juniata County,Pennsylvania,7,16.24761
2018,42093,Montour County,Pennsylvania,7,155.19344
2018,42113,Sullivan County,Pennsylvania,7,16.91189
2018,42119,Union County,Pennsylvania,7,58.698699999999995
2018,46053,Gregory County,South Dakota,7,47.4046
2018,46069,Hyde County,South Dakota,7,No Data
2018,46119,Sully County,South Dakota,7,No Data
2018,47101,Lewis County,Tennessee,7,32.35461
2018,47137,Pickett County,Tennessee,7,No Data
2018,47187,Williamson County,Tennessee,7,82.73962
2018,48007,Aransas County,Texas,7,29.39447
2018,48081,Coke County,Texas,7,No Data
2018,48083,Coleman County,Texas,7,24.691360000000003
2018,48085,Collin County,Texas,7,67.99935
2018,48101,Cottle County,Texas,7,No Data
2018,48121,Denton County,Texas,7,57.97738
2018,48123,Dewitt County,Texas,7,24.78438
2018,48125,Dickens County,Texas,7,No Data
2018,48137,Edwards County,Texas,7,No Data
2018,48155,Foard County,Texas,7,No Data
2018,48163,Frio County,Texas,7,24.53506
2018,48195,Hansford County,Texas,7,18.94298
2018,48207,Haskell County,Texas,7,34.75843
2018,48211,Hemphill County,Texas,7,No Data
2018,48219,Hockley County,Texas,7,43.62811
2018,48233,Hutchinson County,Texas,7,48.362919999999995
2018,48263,Kent County,Texas,7,No Data
2018,48279,Lamb County,Texas,7,15.735639999999998
2018,48299,Llano County,Texas,7,50.09564
2018,48303,Lubbock County,Texas,7,56.86656
2018,48319,Mason County,Texas,7,23.02026
2018,48323,Maverick County,Texas,7,22.26866
2018,48327,Menard County,Texas,7,47.08098
2018,48389,Reeves County,Texas,7,12.539969999999999
2018,48391,Refugio County,Texas,7,29.082449999999998
2018,48415,Scurry County,Texas,7,54.015119999999996
2018,48421,Sherman County,Texas,7,No Data
2018,48431,Sterling County,Texas,7,No Data
