Primary Care Physicians per 100000 Population-Density; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Primary Care Physicians per 100000 Population
2018,31045,Dawes County,Nebraska,6.7,81.49959
2018,31101,Keith County,Nebraska,6.7,74.68260000000001
2018,32027,Pershing County,Nevada,6.7,14.869889999999998
2018,37043,Clay County,North Carolina,6.7,53.423559999999995
2018,38027,Eddy County,North Dakota,6.7,No Data
2018,38087,Slope County,North Dakota,6.7,No Data
2018,41027,Hood River County,Oregon,6.7,213.83970999999997
2018,42013,Blair County,Pennsylvania,6.7,80.44062
2018,42123,Warren County,Pennsylvania,6.7,51.03212
2018,46105,Perkins County,South Dakota,6.7,34.90401
2018,48069,Castro County,Texas,6.7,13.280209999999999
2018,48171,Gillespie County,Texas,6.7,122.27657
2018,48275,Knox County,Texas,6.7,27.292579999999997
2018,48329,Midland County,Texas,6.7,36.19254
2018,48393,Roberts County,Texas,6.7,No Data
2018,48459,Upshur County,Texas,6.7,28.74045
2018,48463,Uvalde County,Texas,6.7,37.39576
2018,48507,Zavala County,Texas,6.7,8.44595
2018,51063,Floyd County,Virginia,6.7,44.447269999999996
2018,51133,Northumberland County,Virginia,6.7,74.41091
2018,55091,Pepin County,Wisconsin,6.7,41.16921
2018,55097,Portage County,Wisconsin,6.7,43.80263
2018,56011,Crook County,Wyoming,6.7,39.556960000000004
2018,56027,Niobrara County,Wyoming,6.7,84.88964
2018,02068,Denali Borough,Alaska,6.8,No Data
2018,05013,Calhoun County,Arkansas,6.8,19.271539999999998
2018,06051,Mono County,California,6.8,76.15619
2018,06083,Santa Barbara County,California,6.8,75.92402
2018,08019,Clear Creek County,Colorado,6.8,No Data
2018,08065,Lake County,Colorado,6.8,49.21865
2018,08073,Lincoln County,Colorado,6.8,52.62235
2018,08085,Montrose County,Colorado,6.8,79.51728
2018,08115,Sedgwick County,Colorado,6.8,44.483990000000006
2018,08125,Yuma County,Colorado,6.8,49.905179999999994
2018,12109,St. Johns County,Florida,6.8,100.12393
2018,13113,Fayette County,Georgia,6.8,113.61551
2018,16017,Bonner County,Idaho,6.8,45.91268
2018,17059,Gallatin County,Illinois,6.8,20.712509999999998
2018,17061,Greene County,Illinois,6.8,15.42139
2018,17065,Hamilton County,Illinois,6.8,36.96402
2018,17067,Hancock County,Illinois,6.8,22.58866
2018,17069,Hardin County,Illinois,6.8,104.68464
2018,17079,Jasper County,Illinois,6.8,10.40583
2018,17103,Lee County,Illinois,6.8,67.45659
2018,17131,Mercer County,Illinois,6.8,6.47794
2018,17157,Randolph County,Illinois,6.8,47.19653
2018,17203,Woodford County,Illinois,6.8,49.40326
2018,18037,Dubois County,Indiana,6.8,81.89817000000001
2018,19009,Audubon County,Iowa,6.8,72.78020000000001
2018,19079,Hamilton County,Iowa,6.8,33.84553
2018,19159,Ringgold County,Iowa,6.8,122.5991
2018,21213,Simpson County,Kentucky,6.8,26.922250000000002
2018,24027,Howard County,Maryland,6.8,194.35660000000001
2018,26083,Keweenaw County,Michigan,6.8,No Data
2018,27051,Grant County,Minnesota,6.8,33.48962
2018,27141,Sherburne County,Minnesota,6.8,38.05097
2018,29089,Howard County,Missouri,6.8,39.995999999999995
2018,29131,Miller County,Missouri,6.8,35.130179999999996
2018,30007,Broadwater County,Montana,6.8,32.066700000000004
2018,30037,Golden Valley County,Montana,6.8,121.80268
2018,30101,Toole County,Montana,6.8,63.344590000000004
2018,31005,Arthur County,Nebraska,6.8,No Data
2018,31091,Hooker County,Nebraska,6.8,293.25513
2018,31143,Polk County,Nebraska,6.8,57.54844000000001
2018,31159,Seward County,Nebraska,6.8,52.07128000000001
2018,37115,Madison County,North Carolina,6.8,64.35302
2018,41055,Sherman County,Oregon,6.8,56.17978
2018,42091,Montgomery County,Pennsylvania,6.8,137.92024
2018,44005,Newport County,Rhode Island,6.8,90.15375
2018,44009,Washington County,Rhode Island,6.8,93.16993000000001
2018,46061,Hanson County,South Dakota,6.8,No Data
2018,46097,Miner County,South Dakota,6.8,45.12635
2018,47067,Hancock County,Tennessee,6.8,15.105739999999999
2018,48011,Armstrong County,Texas,6.8,No Data
2018,48017,Bailey County,Texas,6.8,28.57143
2018,48045,Briscoe County,Texas,6.8,64.68305
2018,48087,Collingsworth County,Texas,6.8,34.24658
2018,48091,Comal County,Texas,6.8,66.57746999999999
2018,48097,Cooke County,Texas,6.8,29.08597
2018,48105,Crockett County,Texas,6.8,28.868360000000003
2018,48117,Deaf Smith County,Texas,6.8,10.783999999999999
2018,48131,Duval County,Texas,6.8,No Data
2018,48199,Hardin County,Texas,6.8,20.83261
2018,48267,Kimble County,Texas,6.8,92.22965
2018,48269,King County,Texas,6.8,No Data
2018,48283,La Salle County,Texas,6.8,No Data
2018,48289,Leon County,Texas,6.8,No Data
2018,48333,Mills County,Texas,6.8,20.52124
2018,48379,Rains County,Texas,6.8,7.9910499999999995
2018,48383,Reagan County,Texas,6.8,51.96155
2018,48385,Real County,Texas,6.8,57.93743
2018,48411,San Saba County,Texas,6.8,33.03055
2018,48435,Sutton County,Texas,6.8,105.9322
2018,48461,Upton County,Texas,6.8,54.68964
2018,48465,Val Verde County,Texas,6.8,34.67619
2018,48505,Zapata County,Texas,6.8,7.05268
2018,55037,Florence County,Wisconsin,6.8,46.56577
2018,55047,Green Lake County,Wisconsin,6.8,89.88526
2018,55051,Iron County,Wisconsin,6.8,52.75189
2018,55099,Price County,Wisconsin,6.8,14.98015
2018,55129,Washburn County,Wisconsin,6.8,95.41985
2018,56035,Sublette County,Wyoming,6.8,40.687619999999995
2018,04005,Coconino County,Arizona,6.9,80.84976
2018,06063,Plumas County,California,6.9,79.75754
2018,06091,Sierra County,California,6.9,33.27787
2018,06105,Trinity County,California,6.9,32.56003
2018,08029,Delta County,Colorado,6.9,73.80784
2018,08033,Dolores County,Colorado,6.9,48.6618
2018,08053,Hinsdale County,Colorado,6.9,121.95121999999999
2018,08063,Kit Carson County,Colorado,6.9,56.36184
2018,08095,Phillips County,Colorado,6.9,117.23329
2018,12085,Martin County,Florida,6.9,65.21739
2018,13023,Bleckley County,Georgia,6.9,38.840990000000005
2018,16001,Ada County,Idaho,6.9,96.34812000000001
2018,17007,Boone County,Illinois,6.9,54.16106
2018,17013,Calhoun County,Illinois,6.9,21.1015
2018,17155,Putnam County,Illinois,6.9,17.42464
2018,17165,Saline County,Illinois,6.9,63.85424
2018,17169,Schuyler County,Illinois,6.9,14.77541
2018,17185,Wabash County,Illinois,6.9,43.40278
2018,17189,Washington County,Illinois,6.9,14.401959999999999
2018,18013,Brown County,Indiana,6.9,39.75616
2018,19061,Dubuque County,Iowa,6.9,78.10011
2018,19077,Guthrie County,Iowa,6.9,37.42165
2018,19089,Howard County,Iowa,6.9,54.59707
2018,19121,Madison County,Iowa,6.9,55.086299999999994
2018,19149,Plymouth County,Iowa,6.9,51.634429999999995
2018,20151,Pratt County,Kansas,6.9,87.29812
2018,20179,Sheridan County,Kansas,6.9,39.666799999999995
2018,20199,Wallace County,Kansas,6.9,No Data
2018,23005,Cumberland County,Maine,6.9,168.13388
2018,23023,Sagadahoc County,Maine,6.9,66.9344
2018,25001,Barnstable County,Massachusetts,6.9,93.43162
2018,26135,Oscoda County,Michigan,6.9,24.268900000000002
