Access to Exercise Opportunities-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities
2018,47067,Hancock County,Tennessee,6.8,2.5076990761
2018,48011,Armstrong County,Texas,6.8,2.524986849
2018,48017,Bailey County,Texas,6.8,81.004884857
2018,48045,Briscoe County,Texas,6.8,29.260843005
2018,48087,Collingsworth County,Texas,6.8,82.302911351
2018,48091,Comal County,Texas,6.8,86.39833321
2018,48097,Cooke County,Texas,6.8,42.295184328
2018,48105,Crockett County,Texas,6.8,90.642645873
2018,48117,Deaf Smith County,Texas,6.8,74.514763576
2018,48131,Duval County,Texas,6.8,No Data
2018,48199,Hardin County,Texas,6.8,51.538391141
2018,48267,Kimble County,Texas,6.8,63.273279792
2018,48269,King County,Texas,6.8,No Data
2018,48283,La Salle County,Texas,6.8,No Data
2018,48289,Leon County,Texas,6.8,18.510802928
2018,48333,Mills County,Texas,6.8,3.2820097245
2018,48379,Rains County,Texas,6.8,43.577056991
2018,48383,Reagan County,Texas,6.8,92.782892783
2018,48385,Real County,Texas,6.8,0.2115442732
2018,48411,San Saba County,Texas,6.8,4.95840809
2018,48435,Sutton County,Texas,6.8,77.325581395
2018,48461,Upton County,Texas,6.8,65.722801788
2018,48465,Val Verde County,Texas,6.8,76.638229096
2018,48505,Zapata County,Texas,6.8,25.131973177
2018,55037,Florence County,Wisconsin,6.8,60.818449017
2018,55047,Green Lake County,Wisconsin,6.8,55.167707732
2018,55051,Iron County,Wisconsin,6.8,53.98918188
2018,55099,Price County,Wisconsin,6.8,58.987216611
2018,55129,Washburn County,Wisconsin,6.8,48.130224373
2018,56035,Sublette County,Wyoming,6.8,45.086366741
2018,04005,Coconino County,Arizona,6.9,77.272896348
2018,06063,Plumas County,California,6.9,92.32768531
2018,06091,Sierra County,California,6.9,6.8827160494
2018,06105,Trinity County,California,6.9,85.768170608
2018,08029,Delta County,Colorado,6.9,62.748772293
2018,08033,Dolores County,Colorado,6.9,18.023255814
2018,08053,Hinsdale County,Colorado,6.9,39.027283511
2018,08063,Kit Carson County,Colorado,6.9,50.822249093
2018,08095,Phillips County,Colorado,6.9,77.577667717
2018,12085,Martin County,Florida,6.9,96.221927582
2018,13023,Bleckley County,Georgia,6.9,72.892903621
2018,16001,Ada County,Idaho,6.9,80.724070699
2018,17007,Boone County,Illinois,6.9,80.611095726
2018,17013,Calhoun County,Illinois,6.9,2.1615248575
2018,17155,Putnam County,Illinois,6.9,20.42957043
2018,17165,Saline County,Illinois,6.9,51.74808333
2018,17169,Schuyler County,Illinois,6.9,26.64369035
2018,17185,Wabash County,Illinois,6.9,61.0027622
2018,17189,Washington County,Illinois,6.9,35.458004893
2018,18013,Brown County,Indiana,6.9,39.384595197
2018,19061,Dubuque County,Iowa,6.9,67.329396816
2018,19077,Guthrie County,Iowa,6.9,42.815409896
2018,19089,Howard County,Iowa,6.9,70.876019235
2018,19121,Madison County,Iowa,6.9,36.207666305
2018,19149,Plymouth County,Iowa,6.9,71.091811414
2018,20151,Pratt County,Kansas,6.9,71.333885667
2018,20179,Sheridan County,Kansas,6.9,52.973395931
2018,20199,Wallace County,Kansas,6.9,38.249158249
2018,23005,Cumberland County,Maine,6.9,72.735147724
2018,23023,Sagadahoc County,Maine,6.9,60.513416258
2018,25001,Barnstable County,Massachusetts,6.9,82.018917216
2018,26135,Oscoda County,Michigan,6.9,72.372685185
2018,27019,Carver County,Minnesota,6.9,94.581621669
2018,27035,Crow Wing County,Minnesota,6.9,55.1328
2018,27049,Goodhue County,Minnesota,6.9,81.930580517
2018,27067,Kandiyohi County,Minnesota,6.9,57.046805085
2018,27101,Murray County,Minnesota,6.9,48.309455587
2018,27117,Pipestone County,Minnesota,6.9,59.45185494
2018,27145,Stearns County,Minnesota,6.9,64.902218505
2018,29003,Andrew County,Missouri,6.9,54.427158637
2018,29059,Dallas County,Missouri,6.9,3.5107587769
2018,29171,Putnam County,Missouri,6.9,46.334605342
2018,30069,Petroleum County,Montana,6.9,5.4655870445
2018,30079,Prairie County,Montana,6.9,No Data
2018,30081,Ravalli County,Montana,6.9,55.349149508
2018,30091,Sheridan County,Montana,6.9,64.420803783
2018,30099,Teton County,Montana,6.9,21.192162029
2018,31021,Burt County,Nebraska,6.9,23.155438903
2018,31129,Nuckolls County,Nebraska,6.9,47.488888889
2018,32009,Esmeralda County,Nevada,6.9,4.9808429119
2018,35021,Harding County,New Mexico,6.9,0.7194244604
2018,37005,Alleghany County,North Carolina,6.9,16.934110264
2018,37021,Buncombe County,North Carolina,6.9,67.534135063
2018,37135,Orange County,North Carolina,6.9,82.252748485
2018,38019,Cavalier County,North Dakota,6.9,61.006761833
2018,39077,Huron County,Ohio,6.9,61.900848623
2018,39137,Putnam County,Ohio,6.9,35.261891649
2018,40045,Ellis County,Oklahoma,6.9,36.3526861
2018,41017,Deschutes County,Oregon,6.9,88.443128578
2018,41057,Tillamook County,Oregon,6.9,78.217821782
2018,41069,Wheeler County,Oregon,6.9,12.491325468
2018,42023,Cameron County,Pennsylvania,6.9,72.448377581
2018,42029,Chester County,Pennsylvania,6.9,81.421006001
2018,42103,Pike County,Pennsylvania,6.9,49.268768847
2018,46005,Beadle County,South Dakota,6.9,48.98838947
2018,46037,Day County,South Dakota,6.9,42.644483363
2018,46059,Hand County,South Dakota,6.9,48.265811717
2018,46075,Jones County,South Dakota,6.9,53.876739563
2018,47021,Cheatham County,Tennessee,6.9,43.168392789
2018,47083,Houston County,Tennessee,6.9,38.488013292
2018,48019,Bandera County,Texas,6.9,59.277520137
2018,48035,Bosque County,Texas,6.9,24.35756644
2018,48043,Brewster County,Texas,6.9,64.157279029
2018,48047,Brooks County,Texas,6.9,34.957773778
2018,48053,Burnet County,Texas,6.9,50.753216374
2018,48065,Carson County,Texas,6.9,58.783565189
2018,48093,Comanche County,Texas,6.9,No Data
2018,48115,Dawson County,Texas,6.9,61.230391094
2018,48127,Dimmit County,Texas,6.9,61.074429772
2018,48133,Eastland County,Texas,6.9,45.191842006
2018,48147,Fannin County,Texas,6.9,27.607253428
2018,48165,Gaines County,Texas,6.9,44.899007189
2018,48173,Glasscock County,Texas,6.9,No Data
2018,48189,Hale County,Texas,6.9,72.632536597
2018,48193,Hamilton County,Texas,6.9,26.030292356
2018,48205,Hartley County,Texas,6.9,73.507093369
2018,48229,Hudspeth County,Texas,6.9,0.3164556962
2018,48235,Irion County,Texas,6.9,53.97123202
2018,48261,Kenedy County,Texas,6.9,No Data
2018,48271,Kinney County,Texas,6.9,39.494163424
2018,48273,Kleberg County,Texas,6.9,67.069024672
2018,48293,Limestone County,Texas,6.9,58.847930209
2018,48295,Lipscomb County,Texas,6.9,No Data
2018,48297,Live Oak County,Texas,6.9,22.409157922
2018,48305,Lynn County,Texas,6.9,No Data
2018,48317,Martin County,Texas,6.9,2.625546989
2018,48353,Nolan County,Texas,6.9,41.2723449
2018,48397,Rockwall County,Texas,6.9,91.070630736
2018,48399,Runnels County,Texas,6.9,37.186934578
2018,48413,Schleicher County,Texas,6.9,75.093903496
2018,48417,Shackelford County,Texas,6.9,78.715216104
2018,48425,Somervell County,Texas,6.9,76.325088339
2018,48443,Terrell County,Texas,6.9,No Data
2018,48447,Throckmorton County,Texas,6.9,57.038391225
2018,48449,Titus County,Texas,6.9,50.553596833
2018,48483,Wheeler County,Texas,6.9,40.092421442
2018,48495,Winkler County,Texas,6.9,96.41350211
2018,48499,Wood County,Texas,6.9,25.307406348
2018,49031,Piute County,Utah,6.9,8.5475578406
2018,51840,Winchester City,Virginia,6.9,100
2018,53065,Stevens County,Washington,6.9,39.512071857
2018,55015,Calumet County,Wisconsin,6.9,76.73725266
2018,55019,Clark County,Wisconsin,6.9,28.642260017
2018,55109,St. Croix County,Wisconsin,6.9,74.026913273
2018,55117,Sheboygan County,Wisconsin,6.9,81.709333633
2018,02150,Kodiak Island Borough,Alaska,7,98.616833431
2018,06021,Glenn County,California,7,58.690704786
2018,08055,Huerfano County,Colorado,7,26.315005215
2018,08087,Morgan County,Colorado,7,71.909513832
2018,08111,San Juan County,Colorado,7,99.713876967
2018,12021,Collier County,Florida,7,91.513125156
2018,13125,Glascock County,Georgia,7,No Data
2018,13201,Miller County,Georgia,7,11.216326531
2018,13291,Union County,Georgia,7,95.406443154
2018,16041,Franklin County,Idaho,7,55.107148444
2018,16043,Fremont County,Idaho,7,51.623621809
2018,16053,Jerome County,Idaho,7,41.163850898
2018,16057,Latah County,Idaho,7,63.642465901
2018,16085,Valley County,Idaho,7,66.690326506
2018,17087,Johnson County,Illinois,7,70.990303608
2018,17107,Logan County,Illinois,7,70.156739812
