Limited Access To Healthy Foods-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Limited Access To Healthy Foods
2018,16085,Valley County,Idaho,7,7.5468773226
2018,17087,Johnson County,Illinois,7,2.6241075174
2018,17107,Logan County,Illinois,7,7.2243540927
2018,18101,Martin County,Indiana,7,3.140867701
2018,18115,Ohio County,Indiana,7,No Data
2018,18161,Union County,Indiana,7,No Data
2018,19041,Clay County,Iowa,7,4.5675752376
2018,19047,Crawford County,Iowa,7,11.377491575
2018,19167,Sioux County,Iowa,7,0.3804669533
2018,20081,Haskell County,Kansas,7,7.9428946701
2018,20091,Johnson County,Kansas,7,2.2575743984
2018,20153,Rawlins County,Kansas,7,13.734554551
2018,20175,Seward County,Kansas,7,7.6801558402
2018,21079,Garrard County,Kentucky,7,No Data
2018,23009,Hancock County,Maine,7,1.6490713217
2018,25007,Dukes County,Massachusetts,7,8.8272416104
2018,25021,Norfolk County,Massachusetts,7,3.5993974818
2018,27109,Olmsted County,Minnesota,7,2.4484826375
2018,27133,Rock County,Minnesota,7,4.2173640252
2018,27171,Wright County,Minnesota,7,2.9097660729
2018,29057,Dade County,Missouri,7,3.9261132505
2018,29125,Maries County,Missouri,7,1.9107656679
2018,29186,Ste. Genevieve County,Missouri,7,12.427984713
2018,29209,Stone County,Missouri,7,4.7156218164
2018,30061,Mineral County,Montana,7,9.0893312537
2018,31009,Blaine County,Nebraska,7,25.624999983
2018,31015,Boyd County,Nebraska,7,12.29698054
2018,31113,Logan County,Nebraska,7,4.92632582
2018,32031,Washoe County,Nevada,7,6.7953440204
2018,35023,Hidalgo County,New Mexico,7,15.944338793
2018,36077,Otsego County,New York,7,10.632755676
2018,37011,Avery County,North Carolina,7,0.1933960905
2018,37109,Lincoln County,North Carolina,7,6.8803728915
2018,37189,Watauga County,North Carolina,7,2.5514463778
2018,38011,Bowman County,North Dakota,7,2.9321406302
2018,38033,Golden Valley County,North Dakota,7,33.253758375
2018,38049,Mchenry County,North Dakota,7,16.991059675
2018,38055,Mclean County,North Dakota,7,13.202085804
2018,38065,Oliver County,North Dakota,7,19.626656354
2018,40057,Harmon County,Oklahoma,7,2.0508931725
2018,42067,Juniata County,Pennsylvania,7,2.4815928833
2018,42093,Montour County,Pennsylvania,7,4.2721011639
2018,42113,Sullivan County,Pennsylvania,7,11.344099801
2018,42119,Union County,Pennsylvania,7,10.671602028
2018,46053,Gregory County,South Dakota,7,11.124417916
2018,46069,Hyde County,South Dakota,7,4.862867514
2018,46119,Sully County,South Dakota,7,21.688225015
2018,47101,Lewis County,Tennessee,7,16.964765269
2018,47137,Pickett County,Tennessee,7,0.256144472
2018,47187,Williamson County,Tennessee,7,4.9727812489
2018,48007,Aransas County,Texas,7,16.209726326
2018,48081,Coke County,Texas,7,36.075327737
2018,48083,Coleman County,Texas,7,10.210800888
