Severe Housing Cost Burden-Percent; NaturalBreaks
Data downloaded on 27-September-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,51133,Northumberland County,Virginia,6.7,12.77686253
2018,55091,Pepin County,Wisconsin,6.7,10.285335103
2018,55097,Portage County,Wisconsin,6.7,9.9795400028
2018,56011,Crook County,Wyoming,6.7,10.076923077
2018,56027,Niobrara County,Wyoming,6.7,12.577833126
2018,02068,Denali Borough,Alaska,6.8,7.2135785007
2018,05013,Calhoun County,Arkansas,6.8,6.9110576923
2018,06051,Mono County,California,6.8,9.4686376348
2018,06083,Santa Barbara County,California,6.8,19.641755454
2018,08019,Clear Creek County,Colorado,6.8,10.409874243
2018,08065,Lake County,Colorado,6.8,11.104040725
2018,08073,Lincoln County,Colorado,6.8,11.659807956
2018,08085,Montrose County,Colorado,6.8,12.409787009
2018,08115,Sedgwick County,Colorado,6.8,9.2693565976
2018,08125,Yuma County,Colorado,6.8,8.714880333
2018,12109,St. Johns County,Florida,6.8,11.612223865
2018,13113,Fayette County,Georgia,6.8,10.598769719
2018,16017,Bonner County,Idaho,6.8,14.300482426
2018,17059,Gallatin County,Illinois,6.8,7.3778195489
2018,17061,Greene County,Illinois,6.8,5.3890924768
2018,17065,Hamilton County,Illinois,6.8,5.7324840764
2018,17067,Hancock County,Illinois,6.8,4.8907103825
2018,17069,Hardin County,Illinois,6.8,3.2417195208
2018,17079,Jasper County,Illinois,6.8,7.7616835201
2018,17103,Lee County,Illinois,6.8,9.4484629295
2018,17131,Mercer County,Illinois,6.8,8.1580624602
2018,17157,Randolph County,Illinois,6.8,6.1261573073
2018,17203,Woodford County,Illinois,6.8,8.3111795159
2018,18037,Dubois County,Indiana,6.8,7.4010327022
2018,19009,Audubon County,Iowa,6.8,8.0384615385
2018,19079,Hamilton County,Iowa,6.8,7.3846153846
2018,19159,Ringgold County,Iowa,6.8,4.4495151169
2018,21213,Simpson County,Kentucky,6.8,7.8931924883
2018,24027,Howard County,Maryland,6.8,11.11876526
2018,26083,Keweenaw County,Michigan,6.8,10.416666667
2018,27051,Grant County,Minnesota,6.8,7.7290836653
2018,27141,Sherburne County,Minnesota,6.8,8.1435727236
2018,29089,Howard County,Missouri,6.8,8.8685916323
2018,29131,Miller County,Missouri,6.8,6.7323151125
2018,30007,Broadwater County,Montana,6.8,7.1367521368
2018,30037,Golden Valley County,Montana,6.8,6.6666666667
2018,30101,Toole County,Montana,6.8,9.1879075282
2018,31005,Arthur County,Nebraska,6.8,15.243902439
2018,31091,Hooker County,Nebraska,6.8,9.0604026846
2018,31143,Polk County,Nebraska,6.8,4.4050632911
2018,31159,Seward County,Nebraska,6.8,8.9495925143
2018,37115,Madison County,North Carolina,6.8,11.479855372
2018,41055,Sherman County,Oregon,6.8,9.552238806
2018,42091,Montgomery County,Pennsylvania,6.8,12.193024245
2018,44005,Newport County,Rhode Island,6.8,14.997922725
2018,44009,Washington County,Rhode Island,6.8,12.087122534
2018,46061,Hanson County,South Dakota,6.8,8.6999022483
2018,46097,Miner County,South Dakota,6.8,11.419068736
2018,47067,Hancock County,Tennessee,6.8,11.767005473
2018,48011,Armstrong County,Texas,6.8,6.9111424542
2018,48017,Bailey County,Texas,6.8,4.3887147335
2018,48045,Briscoe County,Texas,6.8,15.456238361
2018,48087,Collingsworth County,Texas,6.8,8.9690721649
2018,48091,Comal County,Texas,6.8,11.32339758
2018,48097,Cooke County,Texas,6.8,7.1530176793
2018,48105,Crockett County,Texas,6.8,12.243221035
2018,48117,Deaf Smith County,Texas,6.8,7.9581708614
2018,48131,Duval County,Texas,6.8,6.5438373571
2018,48199,Hardin County,Texas,6.8,9.4853484363
2018,48267,Kimble County,Texas,6.8,9.8731384446
2018,48269,King County,Texas,6.8,25
2018,48283,La Salle County,Texas,6.8,11.86264308
2018,48289,Leon County,Texas,6.8,8.8577721838
2018,48333,Mills County,Texas,6.8,9.1230135374
2018,48379,Rains County,Texas,6.8,7.7584028304
2018,48383,Reagan County,Texas,6.8,10.974456008
2018,48385,Real County,Texas,6.8,13.38028169
2018,48411,San Saba County,Texas,6.8,10.782241015
2018,48435,Sutton County,Texas,6.8,7.9749103943
2018,48461,Upton County,Texas,6.8,5.6451612903
2018,48465,Val Verde County,Texas,6.8,10.915694896
2018,48505,Zapata County,Texas,6.8,11.994485294
2018,55037,Florence County,Wisconsin,6.8,13.209442491
2018,55047,Green Lake County,Wisconsin,6.8,9.4972067039
2018,55051,Iron County,Wisconsin,6.8,12.386487468
2018,55099,Price County,Wisconsin,6.8,11.484810911
2018,55129,Washburn County,Wisconsin,6.8,8.6112708453
2018,56035,Sublette County,Wyoming,6.8,7.2011661808
2018,04005,Coconino County,Arizona,6.9,15.750422306
2018,06063,Plumas County,California,6.9,14.166354907
2018,06091,Sierra County,California,6.9,21.735395189
2018,06105,Trinity County,California,6.9,16.510186005
2018,08029,Delta County,Colorado,6.9,18.044541927
2018,08033,Dolores County,Colorado,6.9,1.3407821229
2018,08053,Hinsdale County,Colorado,6.9,25.555555556
2018,08063,Kit Carson County,Colorado,6.9,10.294117647
2018,08095,Phillips County,Colorado,6.9,5.1785714286
2018,12085,Martin County,Florida,6.9,14.09563541
2018,13023,Bleckley County,Georgia,6.9,11.980627071
2018,16001,Ada County,Idaho,6.9,10.635863284
2018,17007,Boone County,Illinois,6.9,12.074186223
2018,17013,Calhoun County,Illinois,6.9,7.3770491803
2018,17155,Putnam County,Illinois,6.9,6.8328319725
2018,17165,Saline County,Illinois,6.9,12.405665254
2018,17169,Schuyler County,Illinois,6.9,6.0790273556
2018,17185,Wabash County,Illinois,6.9,7.3672806067
2018,17189,Washington County,Illinois,6.9,7.3025856045
2018,18013,Brown County,Indiana,6.9,10.014306152
2018,19061,Dubuque County,Iowa,6.9,10.196119781
2018,19077,Guthrie County,Iowa,6.9,9.7617395327
2018,19089,Howard County,Iowa,6.9,5.6572379368
2018,19121,Madison County,Iowa,6.9,7.6293436293
2018,19149,Plymouth County,Iowa,6.9,5.9671605927
2018,20151,Pratt County,Kansas,6.9,8.4495259342
2018,20179,Sheridan County,Kansas,6.9,8.5064292779
2018,20199,Wallace County,Kansas,6.9,2.5782688766
2018,23005,Cumberland County,Maine,6.9,12.684850749
2018,23023,Sagadahoc County,Maine,6.9,11.315772525
2018,25001,Barnstable County,Massachusetts,6.9,15.612894964
2018,26135,Oscoda County,Michigan,6.9,10.374479889
2018,27019,Carver County,Minnesota,6.9,8.0383241312
2018,27035,Crow Wing County,Minnesota,6.9,10.446544377
2018,27049,Goodhue County,Minnesota,6.9,10.138998164
2018,27067,Kandiyohi County,Minnesota,6.9,10.926150121
2018,27101,Murray County,Minnesota,6.9,6.7571469824
2018,27117,Pipestone County,Minnesota,6.9,10.490956072
2018,27145,Stearns County,Minnesota,6.9,10.696074741
2018,29003,Andrew County,Missouri,6.9,9.1496394231
2018,29059,Dallas County,Missouri,6.9,8.7904713974
2018,29171,Putnam County,Missouri,6.9,7.9608083282
2018,30069,Petroleum County,Montana,6.9,8.1761006289
2018,30079,Prairie County,Montana,6.9,7.3226544622
2018,30081,Ravalli County,Montana,6.9,13.557948362
2018,30091,Sheridan County,Montana,6.9,10.814510609
2018,30099,Teton County,Montana,6.9,10.617928634
2018,31021,Burt County,Nebraska,6.9,7.2092159049
2018,31129,Nuckolls County,Nebraska,6.9,4.2777777778
2018,32009,Esmeralda County,Nevada,6.9,16.875
2018,35021,Harding County,New Mexico,6.9,6.8702290076
2018,37005,Alleghany County,North Carolina,6.9,13.837011885
2018,37021,Buncombe County,North Carolina,6.9,12.144425518
2018,37135,Orange County,North Carolina,6.9,14.741297667
2018,38019,Cavalier County,North Dakota,6.9,6.5934065934
2018,39077,Huron County,Ohio,6.9,9.68463431
2018,39137,Putnam County,Ohio,6.9,5.3732944964
2018,40045,Ellis County,Oklahoma,6.9,6.1643835616
2018,41017,Deschutes County,Oregon,6.9,15.741715413
2018,41057,Tillamook County,Oregon,6.9,10.097993467
2018,41069,Wheeler County,Oregon,6.9,11.409395973
2018,42023,Cameron County,Pennsylvania,6.9,11.644444444
2018,42029,Chester County,Pennsylvania,6.9,11.159894081
2018,42103,Pike County,Pennsylvania,6.9,16.540680771
2018,46005,Beadle County,South Dakota,6.9,5.8703350586
2018,46037,Day County,South Dakota,6.9,9.6498371336
2018,46059,Hand County,South Dakota,6.9,9.3406593407
2018,46075,Jones County,South Dakota,6.9,4.8257372654
2018,47021,Cheatham County,Tennessee,6.9,6.9194762906
2018,47083,Houston County,Tennessee,6.9,9.8501872659
2018,48019,Bandera County,Texas,6.9,9.0744320928
2018,48035,Bosque County,Texas,6.9,7.7827146338
2018,48043,Brewster County,Texas,6.9,16.683518706
2018,48047,Brooks County,Texas,6.9,14.954610607
2018,48053,Burnet County,Texas,6.9,9.5277304005
2018,48065,Carson County,Texas,6.9,3.3707865169
2018,48093,Comanche County,Texas,6.9,6.807003738
2018,48115,Dawson County,Texas,6.9,13.248985438
2018,48127,Dimmit County,Texas,6.9,20.226648352
2018,48133,Eastland County,Texas,6.9,9.2228464419
2018,48147,Fannin County,Texas,6.9,10.037237644
2018,48165,Gaines County,Texas,6.9,7.6160179641
2018,48173,Glasscock County,Texas,6.9,6.7278287462
2018,48189,Hale County,Texas,6.9,11.633349586
2018,48193,Hamilton County,Texas,6.9,7.6658645583
2018,48205,Hartley County,Texas,6.9,9.7966728281
2018,48229,Hudspeth County,Texas,6.9,15.55333998
2018,48235,Irion County,Texas,6.9,13.731825525
2018,48261,Kenedy County,Texas,6.9,No Data
2018,48271,Kinney County,Texas,6.9,1.1721611722
2018,48273,Kleberg County,Texas,6.9,14.138097537
2018,48293,Limestone County,Texas,6.9,11.053984576
2018,48295,Lipscomb County,Texas,6.9,5.3486150907
2018,48297,Live Oak County,Texas,6.9,7.8678839957
2018,48305,Lynn County,Texas,6.9,11.411411411
2018,48317,Martin County,Texas,6.9,6.2288422478
2018,48353,Nolan County,Texas,6.9,11.119661408
2018,48397,Rockwall County,Texas,6.9,8.5740230828
2018,48399,Runnels County,Texas,6.9,9.4969061071
2018,48413,Schleicher County,Texas,6.9,11.349693252
2018,48417,Shackelford County,Texas,6.9,5.8326937836
